quarter,kind,amount,currency,basis,basis_amount,rate,source_table,source_id,formula_key,null_reason,warnings
2021-Q1,management_fee,,USD,committed,,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4,missing_committed_basis_no_partner_commitments,
2021-Q2,management_fee,,USD,committed,,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4,missing_committed_basis_no_partner_commitments,
2021-Q3,management_fee,,USD,committed,,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4,missing_committed_basis_no_partner_commitments,
2021-Q4,management_fee,,USD,committed,,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4,missing_committed_basis_no_partner_commitments,
2022-Q1,management_fee,,USD,committed,,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4,missing_committed_basis_no_partner_commitments,
2022-Q2,management_fee,,USD,committed,,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4,missing_committed_basis_no_partner_commitments,
2022-Q3,management_fee,,USD,committed,,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4,missing_committed_basis_no_partner_commitments,
2022-Q4,management_fee,,USD,committed,,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4,missing_committed_basis_no_partner_commitments,
2023-Q1,management_fee,,USD,committed,,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4,missing_committed_basis_no_partner_commitments,
2023-Q2,management_fee,,USD,committed,,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4,missing_committed_basis_no_partner_commitments,
2023-Q3,management_fee,,USD,committed,,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4,missing_committed_basis_no_partner_commitments,
2023-Q4,management_fee,,USD,committed,,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4,missing_committed_basis_no_partner_commitments,
2024-Q1,management_fee,1875000.0,USD,committed,500000000.0,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4 [rate_source=repe_fund_term],,
2024-Q2,management_fee,1968750.0,USD,committed,525000000.0,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4 [rate_source=repe_fund_term],,
2024-Q3,management_fee,3468750.0,USD,committed,925000000.0,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4 [rate_source=repe_fund_term],,
2024-Q4,management_fee,3750000.0,USD,committed,1000000000.0,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4 [rate_source=repe_fund_term],,
2025-Q1,management_fee,3750000.0,USD,committed,1000000000.0,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4 [rate_source=repe_fund_term],,
2025-Q2,management_fee,3750000.0,USD,committed,1000000000.0,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4 [rate_source=repe_fund_term],,
2025-Q3,management_fee,3750000.0,USD,committed,1000000000.0,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4 [rate_source=repe_fund_term],,
2025-Q4,management_fee,3750000.0,USD,committed,1000000000.0,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4 [rate_source=repe_fund_term],,
2026-Q1,management_fee,3750000.0,USD,committed,1000000000.0,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4 [rate_source=repe_fund_term],,
2026-Q2,management_fee,3750000.0,USD,committed,1000000000.0,0.015,repe_fund_term,8262c129-9262-4323-a510-79002a3b116c,mgmt_fee = basis_amount * annual_rate / 4 [rate_source=repe_fund_term],,
2025Q1,fund_admin,40000.0,USD,,,,re_fund_expense_qtr,a6b3c626-1a5c-44ed-8814-ac763b15d749,explicit_row,,
2025Q1,audit,25000.0,USD,,,,re_fund_expense_qtr,cf5e524a-74aa-4615-9c1b-0a6042460cf4,explicit_row,,
2025Q1,legal,20000.0,USD,,,,re_fund_expense_qtr,c3ca301d-39e1-4e89-a2e2-9a49980c8ad0,explicit_row,,
2025Q2,fund_admin,40000.0,USD,,,,re_fund_expense_qtr,562af95a-d8ec-4eb3-b6b2-00db8874478f,explicit_row,,
2025Q2,audit,25000.0,USD,,,,re_fund_expense_qtr,3bb894d3-e076-41fd-a055-78fc588164a5,explicit_row,,
2025Q2,legal,20000.0,USD,,,,re_fund_expense_qtr,96443170-0adf-4559-9a1a-639cf0c56f49,explicit_row,,
2025Q3,fund_admin,40000.0,USD,,,,re_fund_expense_qtr,eada8094-be0f-4d36-b0a9-9fde6c062745,explicit_row,,
2025Q3,audit,25000.0,USD,,,,re_fund_expense_qtr,a170f8a3-283b-46be-959d-70157b2c05fa,explicit_row,,
2025Q3,legal,20000.0,USD,,,,re_fund_expense_qtr,3b260405-fe82-4f0e-bc7a-dafdedf77c46,explicit_row,,
2026Q1,fund_admin,25000.0,USD,,,,re_fund_expense_qtr,5cc2868b-29a4-46aa-9a10-7d464080d559,explicit_row,,
2026Q1,audit,15000.0,USD,,,,re_fund_expense_qtr,2603a12a-aef0-4c96-9f36-06decca3fd91,explicit_row,,
2026Q1,legal,5000.0,USD,,,,re_fund_expense_qtr,c286e842-37d8-46e0-a613-41367f383a6c,explicit_row,,
2026Q2,fund_admin,27000.0,USD,,,,re_fund_expense_qtr,d0144350-bee6-4c09-8ae6-d26779a061af,explicit_row,,
2026Q2,audit,15000.0,USD,,,,re_fund_expense_qtr,1b982eb1-6f4a-49d9-ab92-0a5b2eed2c43,explicit_row,,
2026Q2,legal,10000.0,USD,,,,re_fund_expense_qtr,2582c428-40e5-4b65-9912-15c2cfb087c1,explicit_row,,
