quarter,fund_id,fund_name,investment_id,investment_name,asset_id,asset_name,asset_cash_flow,ownership_percent,effective_fund_ownership_percent,lp_percent,gp_percent,investment_entity_cash_flow,fund_attributable_cash_flow,lp_cash_flow,gp_cash_flow,allocation_formula
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0006-000000000001,Lone Star Distribution Acquisition,d4560000-0456-0201-0006-000000000001,Lone Star Distribution,-1465734.66,1.000000000000,0.880000000000000000000000,0.880000000000,0.120000000000,-1465734.66,-1289846.500800000000,-1289846.500800000000,-175888.159200000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0007-000000000001,Peachtree Logistics Park Acquisition,d4560000-0456-0201-0007-000000000001,Peachtree Logistics Park,-1348881.75,1.000000000000,0.880000000000000000000000,0.880000000000,0.120000000000,-1348881.75,-1187015.940000000000,-1187015.940000000000,-161865.810000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0001-000000000001,Meadowview Apartments Acquisition,d4560000-0456-0201-0001-000000000001,Meadowview Apartments,-800963.39,1.000000000000,0.900000000000000000000000,0.900000000000,0.100000000000,-800963.39,-720867.051000000000,-720867.051000000000,-80096.339000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0008-000000000001,Northwest Commerce Center Acquisition,d4560000-0456-0201-0008-000000000001,Northwest Commerce Center,-984349.98,1.000000000000,0.850000000000000000000000,0.850000000000,0.150000000000,-984349.98,-836697.483000000000,-836697.483000000000,-147652.497000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0002-000000000001,Sunbelt Crossing Acquisition,d4560000-0456-0201-0002-000000000001,Sunbelt Crossing,-707365.06,1.000000000000,0.900000000000000000000000,0.900000000000,0.100000000000,-707365.06,-636628.554000000000,-636628.554000000000,-70736.506000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0004-000000000001,Bayshore Flats Acquisition,d4560000-0456-0201-0004-000000000001,Bayshore Flats,-786902.13,1.000000000000,0.900000000000000000000000,0.900000000000,0.100000000000,-786902.13,-708211.917000000000,-708211.917000000000,-78690.213000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0003-000000000001,Pinehurst Residences Acquisition,d4560000-0456-0201-0003-000000000001,Pinehurst Residences,-663615.22,1.000000000000,0.900000000000000000000000,0.900000000000,0.100000000000,-663615.22,-597253.698000000000,-597253.698000000000,-66361.522000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,594a1367-8109-49db-a353-44685fe6578e,Suburban Office Park,a1b2c3d4-9001-0001-0003-000000000001,Campus Edge Apartments,-309889.87,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-309889.87,-247911.896000000000,-247911.896000000000,-61977.974000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,594a1367-8109-49db-a353-44685fe6578e,Suburban Office Park,a1b2c3d4-9001-0001-0005-000000000001,Gateway Distribution Center,-713980.29,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-713980.29,-571184.232000000000,-571184.232000000000,-142796.058000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,594a1367-8109-49db-a353-44685fe6578e,Suburban Office Park,a1b2c3d4-9001-0001-0002-000000000001,Heritage Senior Living,4849.20,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,4849.20,3879.360000000000,3879.360000000000,969.840000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
