quarter,fund_id,fund_name,component,amount,formula
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,beginning_nav,1262565451.675400000000,sum(investment beginning attributable NAV)
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,ending_nav,1285780638.934200000000,sum(investment ending attributable NAV)
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,gross_operating_cash_flow,-8670575.233800000000,sum(investment attributable operating cash flow before fund-level fees)
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,management_fees,1875000.000000000000,latest quarter fee accrual row
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,fund_expenses,0,sum(latest quarter expense rows by expense type)
2026Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,net_operating_cash_flow,-10545575.233800000000,gross operating cash flow - management fees - fund expenses
2026Q4,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,beginning_nav,35029135.968000000000,sum(investment beginning attributable NAV)
2026Q4,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,ending_nav,35784007.112000000000,sum(investment ending attributable NAV)
2026Q4,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,gross_operating_cash_flow,1041.344000000000,sum(investment attributable operating cash flow before fund-level fees)
2026Q4,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,management_fees,3375000.000000000000,latest quarter fee accrual row
2026Q4,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,fund_expenses,0,sum(latest quarter expense rows by expense type)
2026Q4,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,net_operating_cash_flow,-3373958.656000000000,gross operating cash flow - management fees - fund expenses
2026Q4,a1b2c3d4-0002-0020-0001-000000000001,Meridian Credit Opportunities Fund I,beginning_nav,121957189.150000000000,sum(investment beginning attributable NAV)
2026Q4,a1b2c3d4-0002-0020-0001-000000000001,Meridian Credit Opportunities Fund I,ending_nav,127286761.040000000000,sum(investment ending attributable NAV)
2026Q4,a1b2c3d4-0002-0020-0001-000000000001,Meridian Credit Opportunities Fund I,gross_operating_cash_flow,-2816869.270000000000,sum(investment attributable operating cash flow before fund-level fees)
2026Q4,a1b2c3d4-0002-0020-0001-000000000001,Meridian Credit Opportunities Fund I,management_fees,1500000.000000000000,latest quarter fee accrual row
2026Q4,a1b2c3d4-0002-0020-0001-000000000001,Meridian Credit Opportunities Fund I,fund_expenses,0,sum(latest quarter expense rows by expense type)
2026Q4,a1b2c3d4-0002-0020-0001-000000000001,Meridian Credit Opportunities Fund I,net_operating_cash_flow,-4316869.270000000000,gross operating cash flow - management fees - fund expenses
