quarter,fund_id,fund_name,investment_id,investment_name,component,amount,formula
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0006-000000000001,Lone Star Distribution Acquisition,beginning_nav_attributable,123610734.077600000000,sum(prior quarter asset NAV * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0006-000000000001,Lone Star Distribution Acquisition,ending_nav_attributable,126397401.600800000000,sum(current quarter asset NAV * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0006-000000000001,Lone Star Distribution Acquisition,fund_attributable_operating_cash_flow,-1307609.221600000000,sum(asset net cash flow * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0006-000000000001,Lone Star Distribution Acquisition,gross_return_amount,1479058.30160000000000000000000000000000000,fund attributable operating cash flow + fund attributable valuation movement
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0006-000000000001,Lone Star Distribution Acquisition,beginning_nav_attributable,129210175.362400000000,sum(prior quarter asset NAV * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0006-000000000001,Lone Star Distribution Acquisition,ending_nav_attributable,132049317.118400000000,sum(current quarter asset NAV * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0006-000000000001,Lone Star Distribution Acquisition,fund_attributable_operating_cash_flow,-1298793.496000000000,sum(asset net cash flow * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0006-000000000001,Lone Star Distribution Acquisition,gross_return_amount,1540348.26000000000000000000000000000000000,fund attributable operating cash flow + fund attributable valuation movement
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0007-000000000001,Peachtree Logistics Park Acquisition,beginning_nav_attributable,112954197.716800000000,sum(prior quarter asset NAV * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0007-000000000001,Peachtree Logistics Park Acquisition,ending_nav_attributable,115511099.316800000000,sum(current quarter asset NAV * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0007-000000000001,Peachtree Logistics Park Acquisition,fund_attributable_operating_cash_flow,-1202839.739200000000,sum(asset net cash flow * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0007-000000000001,Peachtree Logistics Park Acquisition,gross_return_amount,1354061.86080000000000000000000000000000000,fund attributable operating cash flow + fund attributable valuation movement
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0007-000000000001,Peachtree Logistics Park Acquisition,beginning_nav_attributable,118091810.575200000000,sum(prior quarter asset NAV * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0007-000000000001,Peachtree Logistics Park Acquisition,ending_nav_attributable,120696568.458400000000,sum(current quarter asset NAV * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0007-000000000001,Peachtree Logistics Park Acquisition,fund_attributable_operating_cash_flow,-1194986.311200000000,sum(asset net cash flow * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0007-000000000001,Peachtree Logistics Park Acquisition,gross_return_amount,1409771.57200000000000000000000000000000000,fund attributable operating cash flow + fund attributable valuation movement
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0001-000000000001,Meadowview Apartments Acquisition,beginning_nav_attributable,108652372.002000000000,sum(prior quarter asset NAV * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0001-000000000001,Meadowview Apartments Acquisition,ending_nav_attributable,111126696.003000000000,sum(current quarter asset NAV * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0001-000000000001,Meadowview Apartments Acquisition,fund_attributable_operating_cash_flow,-740327.607000000000,sum(asset net cash flow * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0001-000000000001,Meadowview Apartments Acquisition,gross_return_amount,1733996.39400000000000000000000000000000000,fund attributable operating cash flow + fund attributable valuation movement
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0001-000000000001,Meadowview Apartments Acquisition,beginning_nav_attributable,113623963.200000000000,sum(prior quarter asset NAV * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0001-000000000001,Meadowview Apartments Acquisition,ending_nav_attributable,116144402.400000000000,sum(current quarter asset NAV * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0001-000000000001,Meadowview Apartments Acquisition,fund_attributable_operating_cash_flow,-730657.395000000000,sum(asset net cash flow * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0001-000000000001,Meadowview Apartments Acquisition,gross_return_amount,1789781.80500000000000000000000000000000000,fund attributable operating cash flow + fund attributable valuation movement
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0008-000000000001,Northwest Commerce Center Acquisition,beginning_nav_attributable,92768084.040000000000,sum(prior quarter asset NAV * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0008-000000000001,Northwest Commerce Center Acquisition,ending_nav_attributable,94972464.520000000000,sum(current quarter asset NAV * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0008-000000000001,Northwest Commerce Center Acquisition,fund_attributable_operating_cash_flow,-848947.904000000000,sum(asset net cash flow * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0008-000000000001,Northwest Commerce Center Acquisition,gross_return_amount,1355432.57600000000000000000000000000000000,fund attributable operating cash flow + fund attributable valuation movement
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0008-000000000001,Northwest Commerce Center Acquisition,beginning_nav_attributable,97197189.240000000000,sum(prior quarter asset NAV * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0008-000000000001,Northwest Commerce Center Acquisition,ending_nav_attributable,99442461.520000000000,sum(current quarter asset NAV * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0008-000000000001,Northwest Commerce Center Acquisition,fund_attributable_operating_cash_flow,-842853.013000000000,sum(asset net cash flow * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0008-000000000001,Northwest Commerce Center Acquisition,gross_return_amount,1402419.26700000000000000000000000000000000,fund attributable operating cash flow + fund attributable valuation movement
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0002-000000000001,Sunbelt Crossing Acquisition,beginning_nav_attributable,97859594.349000000000,sum(prior quarter asset NAV * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0002-000000000001,Sunbelt Crossing Acquisition,ending_nav_attributable,100099990.170000000000,sum(current quarter asset NAV * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0002-000000000001,Sunbelt Crossing Acquisition,fund_attributable_operating_cash_flow,-654302.241000000000,sum(asset net cash flow * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0002-000000000001,Sunbelt Crossing Acquisition,gross_return_amount,1586093.58000000000000000000000000000000000,fund attributable operating cash flow + fund attributable valuation movement
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0002-000000000001,Sunbelt Crossing Acquisition,beginning_nav_attributable,102360989.736000000000,sum(prior quarter asset NAV * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0002-000000000001,Sunbelt Crossing Acquisition,ending_nav_attributable,104642799.651000000000,sum(current quarter asset NAV * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0002-000000000001,Sunbelt Crossing Acquisition,fund_attributable_operating_cash_flow,-645519.942000000000,sum(asset net cash flow * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0002-000000000001,Sunbelt Crossing Acquisition,gross_return_amount,1636289.97300000000000000000000000000000000,fund attributable operating cash flow + fund attributable valuation movement
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0004-000000000001,Bayshore Flats Acquisition,beginning_nav_attributable,91011439.503000000000,sum(prior quarter asset NAV * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0004-000000000001,Bayshore Flats Acquisition,ending_nav_attributable,93111354.000000000000,sum(current quarter asset NAV * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0004-000000000001,Bayshore Flats Acquisition,fund_attributable_operating_cash_flow,-721944.540000000000,sum(asset net cash flow * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0004-000000000001,Bayshore Flats Acquisition,gross_return_amount,1377969.95700000000000000000000000000000000,fund attributable operating cash flow + fund attributable valuation movement
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0004-000000000001,Bayshore Flats Acquisition,beginning_nav_attributable,95230467.747000000000,sum(prior quarter asset NAV * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0004-000000000001,Bayshore Flats Acquisition,ending_nav_attributable,97368972.750000000000,sum(current quarter asset NAV * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0004-000000000001,Bayshore Flats Acquisition,fund_attributable_operating_cash_flow,-715120.605000000000,sum(asset net cash flow * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0004-000000000001,Bayshore Flats Acquisition,gross_return_amount,1423384.39800000000000000000000000000000000,fund attributable operating cash flow + fund attributable valuation movement
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0003-000000000001,Pinehurst Residences Acquisition,beginning_nav_attributable,82200494.295000000000,sum(prior quarter asset NAV * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0003-000000000001,Pinehurst Residences Acquisition,ending_nav_attributable,84113299.152000000000,sum(current quarter asset NAV * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0003-000000000001,Pinehurst Residences Acquisition,fund_attributable_operating_cash_flow,-610674.336000000000,sum(asset net cash flow * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0003-000000000001,Pinehurst Residences Acquisition,gross_return_amount,1302130.52100000000000000000000000000000000,fund attributable operating cash flow + fund attributable valuation movement
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0003-000000000001,Pinehurst Residences Acquisition,beginning_nav_attributable,86043432.258000000000,sum(prior quarter asset NAV * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0003-000000000001,Pinehurst Residences Acquisition,ending_nav_attributable,87991066.719000000000,sum(current quarter asset NAV * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0003-000000000001,Pinehurst Residences Acquisition,fund_attributable_operating_cash_flow,-604005.435000000000,sum(asset net cash flow * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0003-000000000001,Pinehurst Residences Acquisition,gross_return_amount,1343629.02600000000000000000000000000000000,fund attributable operating cash flow + fund attributable valuation movement
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,594a1367-8109-49db-a353-44685fe6578e,Suburban Office Park,beginning_nav_attributable,115876775.381333333334,sum(prior quarter asset NAV * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,594a1367-8109-49db-a353-44685fe6578e,Suburban Office Park,ending_nav_attributable,117437185.322666666666,sum(current quarter asset NAV * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,594a1367-8109-49db-a353-44685fe6578e,Suburban Office Park,fund_attributable_operating_cash_flow,-2194333.840000000000,sum(asset net cash flow * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,594a1367-8109-49db-a353-44685fe6578e,Suburban Office Park,gross_return_amount,-633923.89866666666720000000000000000000000,fund attributable operating cash flow + fund attributable valuation movement
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,594a1367-8109-49db-a353-44685fe6578e,Suburban Office Park,beginning_nav_attributable,134834846.080000000000,sum(prior quarter asset NAV * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,594a1367-8109-49db-a353-44685fe6578e,Suburban Office Park,ending_nav_attributable,71710037.160000000000,sum(current quarter asset NAV * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,594a1367-8109-49db-a353-44685fe6578e,Suburban Office Park,fund_attributable_operating_cash_flow,-2163936.248000000000,sum(asset net cash flow * effective fund ownership %)
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,594a1367-8109-49db-a353-44685fe6578e,Suburban Office Park,gross_return_amount,-65288745.1680000000000000000000000000000000,fund attributable operating cash flow + fund attributable valuation movement
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0005-000000000001,Oakridge Residences Acquisition,beginning_nav_attributable,71366977.503000000000,sum(prior quarter asset NAV * effective fund ownership %)
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,d4560000-0456-0101-0005-000000000001,Oakridge Residences Acquisition,ending_nav_attributable,73045447.497000000000,sum(current quarter asset NAV * effective fund ownership %)
