quarter,fund_id,fund_name,investment_id,investment_name,asset_id,asset_name,asset_cash_flow,ownership_percent,effective_fund_ownership_percent,lp_percent,gp_percent,investment_entity_cash_flow,fund_attributable_cash_flow,lp_cash_flow,gp_cash_flow,allocation_formula
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,2d54b971-21ac-41b8-a548-a506fe516c6c,Tech Campus North,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,34003.02,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,34003.02,27202.416000000000,27202.416000000000,6800.604000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2025Q4,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,2d54b971-21ac-41b8-a548-a506fe516c6c,Tech Campus North,097f19ec-1f5f-5e9b-92bb-29c7ceb86682,Tech Campus South Building,-201059.35,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-201059.35,-160847.480000000000,-160847.480000000000,-40211.870000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,2d54b971-21ac-41b8-a548-a506fe516c6c,Tech Campus North,3371333b-a54a-46e3-b4d9-0ad8443dd6a9,Tech Campus North,38597.89,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,38597.89,30878.312000000000,30878.312000000000,7719.578000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q2,a1b2c3d4-0003-0030-0001-000000000001,Institutional Growth Fund VII,2d54b971-21ac-41b8-a548-a506fe516c6c,Tech Campus North,097f19ec-1f5f-5e9b-92bb-29c7ceb86682,Tech Campus South Building,-198404.57,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-198404.57,-158723.656000000000,-158723.656000000000,-39680.914000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2025Q4,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,a1b2c3d4-0001-0010-0002-000000000001,MRF III – Dallas Multifamily Cluster,a1b2c3d4-0001-0010-0003-000000000002,Ellipse Senior Living – Dallas,478435.34,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,478435.34,382748.272000000000,382748.272000000000,95687.068000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2025Q4,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,a1b2c3d4-0001-0010-0002-000000000001,MRF III – Dallas Multifamily Cluster,a1b2c3d4-0001-0010-0003-000000000001,Meridian Park Multifamily – Dallas,-181686.18,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-181686.18,-145348.944000000000,-145348.944000000000,-36337.236000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q2,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,a1b2c3d4-0001-0010-0002-000000000001,MRF III – Dallas Multifamily Cluster,a1b2c3d4-0001-0010-0003-000000000002,Ellipse Senior Living – Dallas,485633.89,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,485633.89,388507.112000000000,388507.112000000000,97126.778000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q2,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,a1b2c3d4-0001-0010-0002-000000000001,MRF III – Dallas Multifamily Cluster,a1b2c3d4-0001-0010-0003-000000000001,Meridian Park Multifamily – Dallas,-172116.69,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-172116.69,-137693.352000000000,-137693.352000000000,-34423.338000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2025Q4,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,a1b2c3d4-0001-0010-0002-000000000002,MRF III – Phoenix Value-Add Portfolio,a1b2c3d4-0001-0010-0003-000000000003,Phoenix Gateway Medical Office,-316607.28,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-316607.28,-253285.824000000000,-253285.824000000000,-63321.456000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2025Q4,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,a1b2c3d4-0001-0010-0002-000000000002,MRF III – Phoenix Value-Add Portfolio,a1b2c3d4-0001-0010-0003-000000000004,Westgate Student Housing – Tempe,-26577.30,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-26577.30,-21261.840000000000,-21261.840000000000,-5315.460000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q2,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,a1b2c3d4-0001-0010-0002-000000000002,MRF III – Phoenix Value-Add Portfolio,a1b2c3d4-0001-0010-0003-000000000003,Phoenix Gateway Medical Office,-314255.05,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-314255.05,-251404.040000000000,-251404.040000000000,-62851.010000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q2,a1b2c3d4-0001-0010-0001-000000000001,Meridian Real Estate Fund III,a1b2c3d4-0001-0010-0002-000000000002,MRF III – Phoenix Value-Add Portfolio,a1b2c3d4-0001-0010-0003-000000000004,Westgate Student Housing – Tempe,-21970.27,1.000000000000,0.800000000000000000000000,0.800000000000,0.200000000000,-21970.27,-17576.216000000000,-17576.216000000000,-4394.054000000000,fund attributable cash flow = asset net cash flow * effective fund ownership %
2025Q4,a1b2c3d4-0002-0020-0001-000000000001,Meridian Credit Opportunities Fund I,a1b2c3d4-0002-0020-0002-000000000002,Midtown Towers – Atlanta GA,a1b2c3d4-0002-0020-0003-000000000002,Midtown Towers – Atlanta GA,-732902.10,1.000000000000,1.000000000000,,,-732902.10,-732902.100000000000,,,fund attributable cash flow = asset net cash flow * effective fund ownership %
2026Q2,a1b2c3d4-0002-0020-0001-000000000001,Meridian Credit Opportunities Fund I,a1b2c3d4-0002-0020-0002-000000000002,Midtown Towers – Atlanta GA,a1b2c3d4-0002-0020-0003-000000000002,Midtown Towers – Atlanta GA,-728746.42,1.000000000000,1.000000000000,,,-728746.42,-728746.420000000000,,,fund attributable cash flow = asset net cash flow * effective fund ownership %
